sel,libfracsurvive
mut-virus-1b-DF1W314-60ug,0.102716049
mut-virus-1b-106B6-375ug,0.159753086
mut-virus-1b-106E6-375ug,0.117901235
mut-virus-2b-106B6-375ug,0.028992677
mut-virus-2b-106E6-375ug,0.071178508
mut-virus-3c-110D12-400ug,0.006986651
mut-virus-3c-17D4-5000ug,0.051157213
mut-virus-3c-OPV20-1750ug,0.0119139
mut-virus-3c-DF1W314-80ug,0.031768134
mut-virus-3c-DF1W314-160ug,0.012532842
mut-virus-3c-OPV12-3600ug,0.010646493
mut-virus-2c-110D12-400ug,0.008321905
mut-virus-2c-110D12-700ug,0.006386886
mut-virus-2c-17D4-3500ug,0.176505534
mut-virus-2c-17D4-4200ug,0.108594438
mut-virus-2c-OPV20-1750ug,0.022658624
mut-virus-2c-DF1W203-275ug,0.136216221
mut-virus-2c-DF1W314-80ug,0.146913457
mut-virus-2c-DF1W314-60ug,0.170300232
mut-virus-2c-OPV12-4000ug,0.008155112
mut-virus-3c-DF1W203-400ug,0.029421861
