name,R1
mut-virus-1b-DF1W314-60ug,BG505_mut_virus_1b_DF1W314-60ug_R1.fastq.gz
mut-virus-2c-17D4-3500ug,BG505_mut_virus_rep2c_17D4-3500ug_R1.fastq.gz
wt-virus-1b,BG505_wt_virus_1b_R1.fastq.gz
mut-virus-2c-DF1W203-275ug,BG505_mut_virus_rep2c_DF1W203-275ug_R1.fastq.gz
mut-virus-1b,BG505_mut_virus_1b_R1.fastq.gz
mut-virus-2c-17D4-4200ug,BG505_mut_virus_rep2c_17D4-4200ug_R1.fastq.gz
mut-virus-2c-110D12-400ug,BG505_mut_virus_rep2c_110D12-400ug_R1.fastq.gz
mut-virus-1b-DF1W203-130ug,BG505_mut_virus_1b_DF1W203-130ug_R1.fastq.gz
mut-virus-1b-106E6-375ug,BG505_mut_virus_1b_106E6-375ug_R1.fastq.gz
mut-virus-2c-DF1W314-60ug,BG505_mut_virus_rep2c_DF1W314-60ug_R1.fastq.gz
wt-virus-2c,BG505_wt_virus_rep2c_R1.fastq.gz
mut-virus-2c-OPV20-1750ug,BG505_mut_virus_rep2c_OPV20-1750ug_R1.fastq.gz
mut-virus-3c-17D4-5000ug,BG505_mut_virus_rep3c_17D4-5000ug_R1.fastq.gz
mut-virus-2c-110D12-700ug,BG505_mut_virus_rep2c_110D12-700ug_R1.fastq.gz
mut-virus-2c-OPV12-4000ug,BG505_mut_virus_rep2c_OPV12-4000ug_R1.fastq.gz
wt-virus-3c,BG505_wt_virus_rep3c_R1.fastq.gz
mut-virus-2b,BG505_mut_virus_2b_R1.fastq.gz
wt-DNA-1,BG505_wt-DNA_1_R1.fastq.gz
wt-virus-3b,BG505_wt_virus_3b_R1.fastq.gz
mut-virus-3c-DF1W314-160ug,BG505_mut_virus_rep3c_DF1W314-160ug_R1.fastq.gz
mut-virus-2c,BG505_mut_virus_rep2c_R1.fastq.gz
wt-DNA-3,BG505_wt-DNA_3_R1.fastq.gz
mut-virus-3c-110D12-400ug,BG505_mut_virus_rep3c_110D12-400ug_R1.fastq.gz
wt-DNA-2,BG505_wt-DNA_2_R1.fastq.gz
mut-virus-3c-OPV20-1750ug,BG505_mut_virus_rep3c_OPV20-1750ug_R1.fastq.gz
mut-virus-3c-OPV12-3600ug,BG505_mut_virus_rep3c_OPV12-3600ug_R1.fastq.gz
wt-virus-2b,BG505_wt_virus_2b_R1.fastq.gz
mut-virus-3b,BG505_mut_virus_3b_R1.fastq.gz
mut-virus-3c-DF1W203-400ug,BG505_mut_virus_rep3c_DF1W203-400ug_R1.fastq.gz
mut-virus-2c-DF1W314-80ug,BG505_mut_virus_rep2c_DF1W314-80ug_R1.fastq.gz
mut-virus-3c,BG505_mut_virus_rep3c_R1.fastq.gz
mut-virus-2b-106E6-375ug,BG505_mut_virus_2b_106E6_375ug_R1.fastq.gz
mut-virus-1b-106B6-375ug,BG505_mut_virus_1b_106B6-375ug_R1.fastq.gz
mut-virus-3c-DF1W314-80ug,BG505_mut_virus_rep3c_DF1W314-80ug_R1.fastq.gz
mut-virus-2b-106B6-375ug,BG505_mut_virus_2b_106B6_375ug_R1.fastq.gz
